sample_id,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
60918,1424784949667,296132677833027,0.47549438,0.10122681,-0.011291504,b,lgwatch,lgwatch_1,stand
19801,1424782715649,15738282889000,-0.32144356,0.032490566,1.0743192,d,gear,gear_1,stairsup
410231,1424780996941,292179952575948,0.38687134,0.2211914,0.701355,f,lgwatch,lgwatch_1,bike
267275,1424697953297,209136905784094,0.103378296,0.46920776,4.398941,a,lgwatch,lgwatch_1,stairsup
9174,1424777721333,288901561348857,0.24691772,0.05947876,-0.08882141,i,lgwatch,lgwatch_1,stairsup
30862,1424779120746,290303747486447,0.050994873,0.016342163,-0.03816223,f,lgwatch,lgwatch_1,stand
383852,1424786543467,297726478226342,0.13941956,0.49108887,0.40875244,b,lgwatch,lgwatch_1,bike
216520,1424788257785,299440796707900,-0.81333923,0.08093262,0.54974365,e,lgwatch,lgwatch_1,stairsup
45663,1424696859450,208043059403848,-0.06561279,0.01977539,-0.018478394,a,lgwatch,lgwatch_1,stand
25453,1424698275511,125357429711231,0.61169434,-0.14343262,-0.297287,a,lgwatch,lgwatch_2,bike
6326,1424787911203,214995272168900,-0.75294495,0.8720856,-1.4380035,e,lgwatch,lgwatch_2,walk
298562,1424788663640,299846650627275,0.9266205,0.1706543,0.3638916,e,lgwatch,lgwatch_1,stairsdown
25809,1424780512166,15039776000000,-0.62317973,-0.19547603,-1.5994946,f,gear,gear_1,stairsup
1208,1424699581856,210763031642211,-0.12585449,0.040039063,-0.07476807,h,lgwatch,lgwatch_1,stand
295794,1424698094257,209277866068659,0.80726624,0.090026855,-3.091751,a,lgwatch,lgwatch_1,stairsup
62387,1424693885132,205068741214048,0.46897888,-0.24578857,0.058135986,c,lgwatch,lgwatch_1,stand
413919,1424781015230,292198240908287,0.83761597,0.2703247,0.32751465,f,lgwatch,lgwatch_1,bike
97982,1424785132579,296315590215573,0.009429932,-0.0007019043,-0.002090454,b,lgwatch,lgwatch_1,sit
303189,1424788686527,299869538520123,0.1639862,0.19308472,1.4864807,e,lgwatch,lgwatch_1,stairsdown
15620,1424780327333,14933020716000,-0.45060685,0.16591494,-0.49534798,f,gear,gear_1,stairsdown
121857,1424779569799,290752810489527,0.058181763,1.5258789e-05,0.028915405,f,lgwatch,lgwatch_1,sit
152524,1424785401689,296584700139880,-2.0566254,-0.4958496,2.229889,b,lgwatch,lgwatch_1,walk
215609,1424780033344,291216355091908,0.8611145,0.83535767,0.5261841,f,lgwatch,lgwatch_1,stairsup
114525,1424782242461,293425472197049,-0.009475708,0.008804321,0.0022735596,d,lgwatch,lgwatch_1,sit
314322,1424780522274,291705257654558,0.1251831,0.4091797,0.24954224,f,lgwatch,lgwatch_1,stairsup
76617,1424782055453,293238463959115,-0.013687134,0.042312622,0.0019989014,d,lgwatch,lgwatch_1,sit
156317,1424697405398,208589006894127,0.19950867,-0.20690918,0.35185242,a,lgwatch,lgwatch_1,walk
262785,1424788486649,299669660776847,0.3028412,1.2270203,-0.017425537,e,lgwatch,lgwatch_1,stairsdown
980,1424781769733,15489960091000,0.028229509,-0.037284255,-0.076166406,d,gear,gear_1,stand
113219,1424779527185,290710196437753,0.08061218,-0.051254272,-0.04371643,f,lgwatch,lgwatch_1,sit
411438,1424786679790,297862800891273,0.7514496,0.269989,0.10647583,b,lgwatch,lgwatch_1,bike
214706,1424785708384,296891395610196,-1.2064056,-0.1583252,0.15026855,b,lgwatch,lgwatch_1,walk
23147,1424688434938,115410108024117,-0.62623596,0.5319977,0.057388306,g,lgwatch,lgwatch_2,stairsup
335829,1424786306280,297489290909595,-0.0037078857,0.8574524,-0.7864685,b,lgwatch,lgwatch_1,stairsup
48186,1424700263198,1083010251000,1.3483585,-0.62717444,-0.619185,h,gear,gear_1,stairsdown
203101,1424779971370,291154381128361,-0.16854858,-0.023406982,0.4012146,f,lgwatch,lgwatch_1,walk
30069,1424693725716,204909324899359,-0.0063323975,0.0073547363,0.033569336,c,lgwatch,lgwatch_1,stand
366125,1424698442528,209626034744574,0.058517456,-0.13961792,-0.4631195,a,lgwatch,lgwatch_1,bike
